lat,lon,psl
-90.0,0.0,-47.938206
-90.0,1.25,-47.938217
-90.0,2.5,-47.938217
-90.0,3.75,-47.938206
-90.0,5.0,-47.938206
-90.0,6.25,-47.938206
-90.0,7.5,-47.938198
-90.0,8.75,-47.938206
-90.0,10.0,-47.938206
-90.0,11.25,-47.938206
-90.0,12.5,-47.938217
-90.0,13.75,-47.938206
-90.0,15.0,-47.938217
-90.0,16.25,-47.938217
-90.0,17.5,-47.938217
-90.0,18.75,-47.938217
-90.0,20.0,-47.99467
-90.0,21.25,-48.15626
-90.0,22.5,-48.285717
-90.0,23.75,-48.309925
-90.0,25.0,-48.331745
-90.0,26.25,-48.33878
-90.0,27.5,-48.35352
-90.0,28.75,-48.365265
-90.0,30.0,-48.365276
-90.0,31.25,-48.36704
-90.0,32.5,-48.373917
-90.0,33.75,-48.373917
-90.0,35.0,-48.38326
-90.0,36.25,-48.392475
-90.0,37.5,-48.397816
-90.0,38.75,-48.397808
-90.0,40.0,-48.40064
-90.0,41.25,-48.41103
-90.0,42.5,-48.412006
-90.0,43.75,-48.412006
-90.0,45.0,-48.412006
-90.0,46.25,-48.412006
-90.0,47.5,-48.412083
-90.0,48.75,-48.418537
-90.0,50.0,-48.41862
-90.0,51.25,-48.41862
-90.0,52.5,-48.41861
-90.0,53.75,-48.419895
-90.0,55.0,-48.424866
-90.0,56.25,-48.428135
-90.0,57.5,-48.430775
-90.0,58.75,-48.430786
-90.0,60.0,-48.430786
-90.0,61.25,-48.430775
-90.0,62.5,-48.430775
-90.0,63.75,-48.430775
-90.0,65.0,-48.430786
-90.0,66.25,-48.430775
-90.0,67.5,-48.430775
-90.0,68.75,-48.430775
-90.0,70.0,-48.430786
-90.0,71.25,-48.430775
-90.0,72.5,-48.430775
-90.0,73.75,-48.430775
-90.0,75.0,-48.430775
-90.0,76.25,-48.430775
-90.0,77.5,-48.430775
-90.0,78.75,-48.433277
-90.0,80.0,-48.43636
-90.0,81.25,-48.43636
-90.0,82.5,-48.43635
-90.0,83.75,-48.43635
-90.0,85.0,-48.43636
-90.0,86.25,-48.43635
-90.0,87.5,-48.43636
-90.0,88.75,-48.43635
-90.0,90.0,-48.43633
-90.0,91.25,-48.43636
-90.0,92.5,-48.434925
-90.0,93.75,-48.430786
-90.0,95.0,-48.430775
-90.0,96.25,-48.430775
-90.0,97.5,-48.430775
-90.0,98.75,-48.430786
-90.0,100.0,-48.42912
-90.0,101.25,-48.424862
-90.0,102.5,-48.424866
-90.0,103.75,-48.424862
-90.0,105.0,-48.424877
-90.0,106.25,-48.424866
-90.0,107.5,-48.42487
-90.0,108.75,-48.42487
-90.0,110.0,-48.424847
-90.0,111.25,-48.42487
-90.0,112.5,-48.41986
-90.0,113.75,-48.418594
-90.0,115.0,-48.418613
-90.0,116.25,-48.418613
-90.0,117.5,-48.418594
-90.0,118.75,-48.414303
-90.0,120.0,-48.412006
-90.0,121.25,-48.412006
-90.0,122.5,-48.412006
-90.0,123.75,-48.407043
-90.0,125.0,-48.424164
-90.0,126.25,-48.460476
-90.0,127.5,-48.553295
-90.0,128.75,-48.605927
-90.0,130.0,-48.623
-90.0,131.25,-48.632786
-90.0,132.5,-48.641125
-90.0,133.75,-48.643078
-90.0,135.0,-48.64059
-90.0,136.25,-48.652584
-90.0,137.5,-48.647934
-90.0,138.75,-48.655323
-90.0,140.0,-48.65765
-90.0,141.25,-48.657642
-90.0,142.5,-48.651302
-90.0,143.75,-48.642944
-90.0,145.0,-48.640076
-90.0,146.25,-48.640076
-90.0,147.5,-48.62032
-90.0,148.75,-48.617428
-90.0,150.0,-48.613384
-90.0,151.25,-48.607788
-90.0,152.5,-48.602566
-90.0,153.75,-48.59402
-90.0,155.0,-48.594013
-90.0,156.25,-48.58823
-90.0,157.5,-48.570118
-90.0,158.75,-48.56992
-90.0,160.0,-48.563976
-90.0,161.25,-48.545162
-90.0,162.5,-48.53896
-90.0,163.75,-48.53041
-90.0,165.0,-48.520275
-90.0,166.25,-48.50115
-90.0,167.5,-48.474125
-90.0,168.75,-48.467373
-90.0,170.0,-48.45576
-90.0,171.25,-48.441113
-90.0,172.5,-48.422726
-90.0,173.75,-48.392857
-90.0,175.0,-48.359783
-90.0,176.25,-48.337234
-90.0,177.5,-48.332783
-90.0,178.75,-48.315495
-90.0,180.0,-48.289593
-90.0,181.25,-48.283966
-90.0,182.5,-48.283978
-90.0,183.75,-48.283966
-90.0,185.0,-48.283966
-90.0,186.25,-48.283966
-90.0,187.5,-48.283966
-90.0,188.75,-48.283966
-90.0,190.0,-48.283966
-90.0,191.25,-48.283966
-90.0,192.5,-48.283978
-90.0,193.75,-48.277813
-90.0,195.0,-48.27229
-90.0,196.25,-48.27229
-90.0,197.5,-48.272278
-90.0,198.75,-48.26242
-90.0,200.0,-48.263714
-90.0,201.25,-48.272278
-90.0,202.5,-48.272266
-90.0,203.75,-48.27229
-90.0,205.0,-48.264263
-90.0,206.25,-48.25656
-90.0,207.5,-48.247913
-90.0,208.75,-48.244953
-90.0,210.0,-48.235226
-90.0,211.25,-48.235226
-90.0,212.5,-48.235226
-90.0,213.75,-48.23428
-90.0,215.0,-48.235233
-90.0,216.25,-48.227325
-90.0,217.5,-48.221577
-90.0,218.75,-48.208862
-90.0,220.0,-48.194744
-90.0,221.25,-48.181072
-90.0,222.5,-48.179546
-90.0,223.75,-48.166656
-90.0,225.0,-48.152172
-90.0,226.25,-48.137775
-90.0,227.5,-48.12132
-90.0,228.75,-48.102753
-90.0,230.0,-48.07074
-90.0,231.25,-48.031895
-90.0,232.5,-47.983295
-90.0,233.75,-47.94696
-90.0,235.0,-47.938206
-90.0,236.25,-47.938217
-90.0,237.5,-47.938217
